release_id,price,status,condition,sleeve_condition,notes,genre_override,decade_override
2487455,,available,Not yet inspected,,,,
1898553,,available,Not yet inspected,,,,
2551511,,available,Not yet inspected,,,,
9919415,,available,Not yet inspected,,,,
3021891,,available,Not yet inspected,,,,
1147295,,available,Not yet inspected,,,,
1652454,,available,Not yet inspected,,,,
2685090,,available,Not yet inspected,,,,
1449467,,available,Not yet inspected,,,,
1165564,,available,Not yet inspected,,,,
3402499,,available,Not yet inspected,,,,
8638526,,available,Not yet inspected,,,,
3232093,,available,Not yet inspected,,,,
2226368,,available,Not yet inspected,,,,
5168804,,available,Not yet inspected,,,,
6844308,,available,Not yet inspected,,,,
5152978,,available,Not yet inspected,,,,
13787646,,available,Not yet inspected,,,,
4246390,,available,Not yet inspected,,,,
3903420,,available,Not yet inspected,,,,
2592504,,available,Not yet inspected,,,,
12065123,,available,Not yet inspected,,,,
1877923,,available,Not yet inspected,,,,
3428771,,available,Not yet inspected,,,,
5441397,,available,Not yet inspected,,,,
5438101,,available,Not yet inspected,,,,
2688061,,available,Not yet inspected,,,,
3143551,,available,Not yet inspected,,,,
6226203,,available,Not yet inspected,,,,
7676449,,available,Not yet inspected,,,,
1277331,,available,Not yet inspected,,,,
2505774,,available,Not yet inspected,,,,
8871571,,available,Not yet inspected,,,,
12719785,,available,Not yet inspected,,,,
4099267,,available,Not yet inspected,,,,
16267305,,available,Not yet inspected,,,,
8307058,,available,Not yet inspected,,,,
3610138,,available,Not yet inspected,,,,
1730451,,available,Not yet inspected,,,,
7191122,,available,Not yet inspected,,,,
14138527,,available,Not yet inspected,,,,
10700543,,available,Not yet inspected,,,,
6020021,,available,Not yet inspected,,,,
10678119,,available,Not yet inspected,,,,
6255951,,available,Not yet inspected,,,,
9451667,,available,Not yet inspected,,,,
5702881,,available,Not yet inspected,,,,
5764829,,available,Not yet inspected,,,,
34804883,,available,Not yet inspected,,,,
9095801,,available,Not yet inspected,,,,
15559325,,available,Not yet inspected,,,,
7332780,,available,Not yet inspected,,,,
1657778,,available,Not yet inspected,,,,
4568945,,available,Not yet inspected,,,,
4603367,,available,Not yet inspected,,,,
7074750,,available,Not yet inspected,,,,
4615502,,available,Not yet inspected,,,,
636663,,available,Not yet inspected,,,,
3886080,,available,Not yet inspected,,,,
3198753,,available,Not yet inspected,,,,
3739695,,available,Not yet inspected,,,,
9211542,,available,Not yet inspected,,,,
8546444,,available,Not yet inspected,,,,
6148448,,available,Not yet inspected,,,,
8729689,,available,Not yet inspected,,,,
3417028,,available,Not yet inspected,,,,
6591398,,available,Not yet inspected,,,,
5266283,,available,Not yet inspected,,,,
3385074,,available,Not yet inspected,,,,
2692565,,available,Not yet inspected,,,,
7333962,,available,Not yet inspected,,,,
5090300,,available,Not yet inspected,,,,
4598025,,available,Not yet inspected,,,,
1022657,,available,Not yet inspected,,,,
10323702,,available,Not yet inspected,,,,
5050747,,available,Not yet inspected,,,,
5843708,,available,Not yet inspected,,,,
2689588,,available,Not yet inspected,,,,
5605329,,available,Not yet inspected,,,,
13534128,,available,Not yet inspected,,,,
8769352,,available,Not yet inspected,,,,
3560501,,available,Not yet inspected,,,,
5253864,,available,Not yet inspected,,,,
1747982,,available,Not yet inspected,,,,
4708943,,available,Not yet inspected,,,,
3817842,,available,Not yet inspected,,,,
7485714,,available,Not yet inspected,,,,
5042674,,available,Not yet inspected,,,,
5305433,,available,Not yet inspected,,,,
23556284,,available,Not yet inspected,,,,
2572465,,available,Not yet inspected,,,,
2125658,,available,Not yet inspected,,,,
8229934,,available,Not yet inspected,,,,
5537869,,available,Not yet inspected,,,,
15428607,,available,Not yet inspected,,,,
2594162,,available,Not yet inspected,,,,
2802779,,available,Not yet inspected,,,,
4229901,,available,Not yet inspected,,,,
1982156,,available,Not yet inspected,,,,
3171702,,available,Not yet inspected,,,,
12296059,,available,Not yet inspected,,,,
5388256,,available,Not yet inspected,,,,
6320984,,available,Not yet inspected,,,,
8178110,,available,Not yet inspected,,,,
3094651,,available,Not yet inspected,,,,
11437583,,available,Not yet inspected,,,,
5604138,,available,Not yet inspected,,,,
7956331,,available,Not yet inspected,,,,
6301569,,available,Not yet inspected,,,,
6775661,,available,Not yet inspected,,,,
14295092,,available,Not yet inspected,,,,
6753606,,available,Not yet inspected,,,,
5036315,,available,Not yet inspected,,,,
2327323,,available,Not yet inspected,,,,
4189399,,available,Not yet inspected,,,,
3583969,,available,Not yet inspected,,,,
2234373,,available,Not yet inspected,,,,
4067993,,available,Not yet inspected,,,,
1318273,,available,Not yet inspected,,,,
1736984,,available,Not yet inspected,,,,
2697563,,available,Not yet inspected,,,,
2697534,,available,Not yet inspected,,,,
7817762,,available,Not yet inspected,,,,
9163069,,available,Not yet inspected,,,,
4498387,,available,Not yet inspected,,,,
2294354,,available,Not yet inspected,,,,
6731550,,available,Not yet inspected,,,,
9746822,,available,Not yet inspected,,,,
7404334,,available,Not yet inspected,,,,
2198330,,available,Not yet inspected,,,,
4993680,,available,Not yet inspected,,,,
3124493,,available,Not yet inspected,,,,
24182480,,available,Not yet inspected,,,,
5114840,,available,Not yet inspected,,,,
4437521,,available,Not yet inspected,,,,
2196049,,available,Not yet inspected,,,,
2361939,,available,Not yet inspected,,,,
1227439,,available,Not yet inspected,,,,
2471088,,available,Not yet inspected,,,,
1719384,,available,Not yet inspected,,,,
2351726,,available,Not yet inspected,,,,
5656662,,available,Not yet inspected,,,,
7865235,,available,Not yet inspected,,,,
7843247,,available,Not yet inspected,,,,
4734986,,available,Not yet inspected,,,,
5872742,,available,Not yet inspected,,,,
7273124,,available,Not yet inspected,,,,
7001276,,available,Not yet inspected,,,,
5080294,,available,Not yet inspected,,,,
3546988,,available,Not yet inspected,,,,
5403642,,available,Not yet inspected,,,,
5400256,,available,Not yet inspected,,,,
3247776,,available,Not yet inspected,,,,
3923967,,available,Not yet inspected,,,,
25096393,,available,Not yet inspected,,,,
521508,,available,Not yet inspected,,,,
3049306,,available,Not yet inspected,,,,
9239546,,available,Not yet inspected,,,,
15117259,,available,Not yet inspected,,,,
6306656,,available,Not yet inspected,,,,
14438578,,available,Not yet inspected,,,,
10110933,,available,Not yet inspected,,,,
2284004,,available,Not yet inspected,,,,
5033660,,available,Not yet inspected,,,,
7318753,,available,Not yet inspected,,,,
3738380,,available,Not yet inspected,,,,
5361517,,available,Not yet inspected,,,,
1181488,,available,Not yet inspected,,,,
28771270,,available,Not yet inspected,,,,
399022,,available,Not yet inspected,,,,
14509487,,available,Not yet inspected,,,,
6050772,,available,Not yet inspected,,,,
636348,,available,Not yet inspected,,,,
398974,,available,Not yet inspected,,,,
10723428,,available,Not yet inspected,,,,
5166150,,available,Not yet inspected,,,,
3734108,,available,Not yet inspected,,,,
4017442,,available,Not yet inspected,,,,
1214198,,available,Not yet inspected,,,,
9541129,,available,Not yet inspected,,,,
5422491,,available,Not yet inspected,,,,
26926619,,available,Not yet inspected,,,,
1786844,,available,Not yet inspected,,,,
4607438,,available,Not yet inspected,,,,
2504723,,available,Not yet inspected,,,,
29993209,,available,Not yet inspected,,,,
3711709,,available,Not yet inspected,,,,
1901122,,available,Not yet inspected,,,,
2435081,,available,Not yet inspected,,,,
3520775,,available,Not yet inspected,,,,
12357128,,available,Not yet inspected,,,,
3199006,,available,Not yet inspected,,,,
8931483,,available,Not yet inspected,,,,
4639339,,available,Not yet inspected,,,,
11260850,,available,Not yet inspected,,,,
3539237,,available,Not yet inspected,,,,
1844308,,available,Not yet inspected,,,,
6527842,,available,Not yet inspected,,,,
7306577,,available,Not yet inspected,,,,
31807352,,available,Not yet inspected,,,,
23333555,,available,Not yet inspected,,,,
5569249,,available,Not yet inspected,,,,
5866573,,available,Not yet inspected,,,,
5515650,,available,Not yet inspected,,,,
1500242,,available,Not yet inspected,,,,
2992729,,available,Not yet inspected,,,,
8144758,,available,Not yet inspected,,,,
4060915,,available,Not yet inspected,,,,
10366601,,available,Not yet inspected,,,,
9659186,,available,Not yet inspected,,,,
5389983,,available,Not yet inspected,,,,
5386267,,available,Not yet inspected,,,,
5386235,,available,Not yet inspected,,,,
5386383,,available,Not yet inspected,,,,
3447454,,available,Not yet inspected,,,,
5389962,,available,Not yet inspected,,,,
2069247,,available,Not yet inspected,,,,
4403952,,available,Not yet inspected,,,,
2328342,,available,Not yet inspected,,,,
11559495,,available,Not yet inspected,,,,
8694888,,available,Not yet inspected,,,,
3722140,,available,Not yet inspected,,,,
2492962,,available,Not yet inspected,,,,
3617208,,available,Not yet inspected,,,,
1524091,,available,Not yet inspected,,,,
2453981,,available,Not yet inspected,,,,
4465737,,available,Not yet inspected,,,,
11967006,,available,Not yet inspected,,,,
13812143,,available,Not yet inspected,,,,
939801,,available,Not yet inspected,,,,
11978578,,available,Not yet inspected,,,,
2693731,,available,Not yet inspected,,,,
2142218,,available,Not yet inspected,,,,
8688277,,available,Not yet inspected,,,,
993430,,available,Not yet inspected,,,,
2059493,,available,Not yet inspected,,,,
1832314,,available,Not yet inspected,,,,
4573887,,available,Not yet inspected,,,,
9071255,,available,Not yet inspected,,,,
4846729,,available,Not yet inspected,,,,
2008580,,available,Not yet inspected,,,,
1139508,,available,Not yet inspected,,,,
5534213,,available,Not yet inspected,,,,
10758375,,available,Not yet inspected,,,,
2773747,,available,Not yet inspected,,,,
2061989,,available,Not yet inspected,,,,
1534660,,available,Not yet inspected,,,,
1760801,,available,Not yet inspected,,,,
4887595,,available,Not yet inspected,,,,
2026233,,available,Not yet inspected,,,,
3802033,,available,Not yet inspected,,,,
12492155,,available,Not yet inspected,,,,
13894434,,available,Not yet inspected,,,,
2935681,,available,Not yet inspected,,,,
2721322,,available,Not yet inspected,,,,
1597097,,available,Not yet inspected,,,,
611453,,available,Not yet inspected,,,,
1320085,,available,Not yet inspected,,,,
2023111,,available,Not yet inspected,,,,
5437104,,available,Not yet inspected,,,,
2023101,,available,Not yet inspected,,,,
14011252,,available,Not yet inspected,,,,
16102344,,available,Not yet inspected,,,,
1957335,,available,Not yet inspected,,,,
3411737,,available,Not yet inspected,,,,
2237517,,available,Not yet inspected,,,,
683646,,available,Not yet inspected,,,,
1525318,,available,Not yet inspected,,,,
2455864,,available,Not yet inspected,,,,
2597213,,available,Not yet inspected,,,,
2274838,,available,Not yet inspected,,,,
5719514,,available,Not yet inspected,,,,
8421882,,available,Not yet inspected,,,,
7881905,,available,Not yet inspected,,,,
1853238,,available,Not yet inspected,,,,
2533811,,available,Not yet inspected,,,,
10631375,,available,Not yet inspected,,,,
15493371,,available,Not yet inspected,,,,
3170417,,available,Not yet inspected,,,,
5506713,,available,Not yet inspected,,,,
10895937,,available,Not yet inspected,,,,
4733596,,available,Not yet inspected,,,,
15210512,,available,Not yet inspected,,,,
3819314,,available,Not yet inspected,,,,
15640197,,available,Not yet inspected,,,,
2637619,,available,Not yet inspected,,,,
4923826,,available,Not yet inspected,,,,
2683962,,available,Not yet inspected,,,,
9476275,,available,Not yet inspected,,,,
1867685,,available,Not yet inspected,,,,
4229810,,available,Not yet inspected,,,,
2129166,,available,Not yet inspected,,,,
3630428,,available,Not yet inspected,,,,
3717244,,available,Not yet inspected,,,,
4769600,,available,Not yet inspected,,,,
6107238,,available,Not yet inspected,,,,
2578550,,available,Not yet inspected,,,,
3986293,,available,Not yet inspected,,,,
2747293,,available,Not yet inspected,,,,
3734124,,available,Not yet inspected,,,,
11130971,,available,Not yet inspected,,,,
5573741,,available,Not yet inspected,,,,
1531875,,available,Not yet inspected,,,,
3660776,,available,Not yet inspected,,,,
17088510,,available,Not yet inspected,,,,
4134897,,available,Not yet inspected,,,,
2422685,,available,Not yet inspected,,,,
12251454,,available,Not yet inspected,,,,
2246719,,available,Not yet inspected,,,,
16585470,,available,Not yet inspected,,,,
5725020,,available,Not yet inspected,,,,
7502480,,available,Not yet inspected,,,,
4106142,,available,Not yet inspected,,,,
3740324,,available,Not yet inspected,,,,
10381452,,available,Not yet inspected,,,,
7077109,,available,Not yet inspected,,,,
9150658,,available,Not yet inspected,,,,
15432145,,available,Not yet inspected,,,,
5236454,,available,Not yet inspected,,,,
2146594,,available,Not yet inspected,,,,
11168781,,available,Not yet inspected,,,,
3946780,,available,Not yet inspected,,,,
4361441,,available,Not yet inspected,,,,
9383594,,available,Not yet inspected,,,,
2580963,,available,Not yet inspected,,,,
1659079,,available,Not yet inspected,,,,
9461420,,available,Not yet inspected,,,,
4954814,,available,Not yet inspected,,,,
1628538,,available,Not yet inspected,,,,
28340305,,available,Not yet inspected,,,,
3509675,,available,Not yet inspected,,,,
13390705,,available,Not yet inspected,,,,
11336431,,available,Not yet inspected,,,,
3571440,,available,Not yet inspected,,,,
11530646,,available,Not yet inspected,,,,
18036181,,available,Not yet inspected,,,,
2849809,,available,Not yet inspected,,,,
8634830,,available,Not yet inspected,,,,
1178156,,available,Not yet inspected,,,,
2226227,,available,Not yet inspected,,,,
1178152,,available,Not yet inspected,,,,
9668486,,available,Not yet inspected,,,,
5305508,,available,Not yet inspected,,,,
5441819,,available,Not yet inspected,,,,
2565881,,available,Not yet inspected,,,,
4738716,,available,Not yet inspected,,,,
2849805,,available,Not yet inspected,,,,
3809200,,available,Not yet inspected,,,,
4754027,,available,Not yet inspected,,,,
4889054,,available,Not yet inspected,,,,
4694336,,available,Not yet inspected,,,,
26348009,,available,Not yet inspected,,,,
4762800,,available,Not yet inspected,,,,
1728180,,available,Not yet inspected,,,,
4694380,,available,Not yet inspected,,,,
2655948,,available,Not yet inspected,,,,
1865102,,available,Not yet inspected,,,,
4888819,,available,Not yet inspected,,,,
695430,,available,Not yet inspected,,,,
5273215,,available,Not yet inspected,,,,
3534637,,available,Not yet inspected,,,,
2263735,,available,Not yet inspected,,,,
666498,,available,Not yet inspected,,,,
